Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"AMS1117-3.3_C22466222","U3",1,0.00,"https://item.szlcsc.com/410724.html","LCSC"
"UBEC","RELE1",1,0.00,"","LCSC"
"TPS62130RGTRF0","U1",1,0.00,"https://item.szlcsc.com/546058.html","LCSC"
"ESP32-S3-WROOM-1(N8R2)","U4",1,0.00,"https://www.mouser.cn/datasheet/2/891/Espressif_ESP32_S3_WROOM_1_1U_Preliminary-2530171.pdf","LCSC"
"2.2uH","U2",1,0.00,"https://atta.szlcsc.com/upload/public/pdf/source/20220713/554BEAF1208EE235D5D1578E7485E8C7.pdf","LCSC"
"19-217/GHC-YR1S2/3T","LED1",1,0.00,"https://item.szlcsc.com/347874.html","LCSC"
"TYPE-C 16PIN 2MD(073)","USB1",1,0.00,"https://atta.szlcsc.com/upload/public/pdf/source/20210409/C2765186_34D42616F62DF94D17C4D63D74D9FD03.pdf","LCSC"
"BMP280","U6",1,0.00,"https://atta.szlcsc.com/upload/public/pdf/source/20200702/C83291_F39E84AB7DFC569A4C7554F8659640A1.pdf","LCSC"
"LED-0603_G","LED3",1,0.00,"","LCSC"
"2700Hz","BUZZER1",1,0.00,"https://item.szlcsc.com/200842.html","LCSC"
"1N4148W","D2",1,0.00,"https://item.szlcsc.com/301422.html","LCSC"
"KH-6X6X4.3H-TJ","SW1",1,0.00,"https://item.szlcsc.com/14483.html","LCSC"
"D-MMBT2222A-7-F","U8",1,0.00,"https://www.diodes.com/assets/Package-Files/SOT23.pdf","LCSC"
"470uF","C1",1,0.00,"https://atta.szlcsc.com/upload/public/pdf/source/20250321/063FCEC07E4987B05CDB75E62EF93118.pdf","LCSC"
"1N5819HW","D1",1,0.00,"https://atta.szlcsc.com/upload/public/pdf/source/20210423/C2828417_EF1BF8BE3D48F97E320B09B073C89160.pdf","LCSC"
"Apogee 12in Parachute Protector ","For protecting the parachute from the ejection charge of the parachute so it doesn't get burned",1,9.66,"https://www.apogeerockets.com/Building-Supplies/Parachute-Protection/Cloth/Apogee-12in-Parachute-Protector","Apogee Rocketry"
"emma kites 100% Kevlar Braided String Utility Cord 100Lb ","To attach the rocket to the parachute",1,14.95,"https://www.amazon.com/emma-kites-Braided-Creative-Projects/dp/B01850OSV8/ref=sr_1_1","Amazon"
"sprookber Stainless Steel Chain Quick Links","So I can attach the parachute cord to the rocket",1,8.99,"https://www.amazon.com/sprookber-Stainless-Steel-Chain-Quick/dp/B0CM8T6J1R","Amazon"
"Aero Pack 29/38mm Motor Adapter","So I can mount mid power rocket motorss (G, F) before testing the H class ones",1,31.85,"https://www.apogeerockets.com/Building-Supplies/Motor-Mount-Kits-Adapters/Ready-to-use-Motor-Adapters/Aero-Pack-29-38mm-Motor-Adapter","Apogee Rocketry"
"36"" Printed Nylon Parachute","So the rocket lands smoothly and efficiently and doesn't damage the precious electronics inside. ",1,18.69,"https://www.apogeerockets.com/Building-Supplies/Parachutes/Larger-than-24in/36in-Printed-Nylon-Parachute","Apogee Rocketry"
"Aero Pack 38mm Retainer","For making sure the rocket motors don't fall out mid flight",1,30.63,"https://www.apogeerockets.com/Building_Supplies/Motor_Retainers_Hooks/Screw-on_Retainers_38mm/38mm_AeroPack_Retainer_L","Apogee Rocketry"
"Bob Smith Industries BSI-205 Slow-Cure™ Epoxy - 4.5 oz. Combined, Clear - 30-Minute Working Time Adhesive for Wood, Fiberglass, Metal, Crafts & Structural Repairs","Gluing all the parts(they need a strong bond so they don't break mid flight)",1,13.69,"https://www.amazon.com/Bob-Smith-Industries-BSI-205-Slow-Cure/dp/B0166FFFS4/ref=sr_1_1","Amazon"
"J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz ","Gluing miscellaneous parts",1,6.54,"https://www.amazon.com/J-B-Weld-8265S-Cold-Weld-Reinforced/dp/B0006O1ICE/ref=pd_lpo_d_sccl_1/140-1059487-2757669?pd_rd_w=AgA2P&content-id=amzn1.sym.4c8c52db-06f8-4e42-8e56-912796f2ea6c&pf_rd_p=4c8c52db-06f8-4e42-8e56-912796f2ea6c&pf_rd_r=GTFK1Y73FK3BPJBNFGRW&pd_rd_wg=n3jiP&pd_rd_r=1f62da26-cec1-457b-92d6-d6523f1dfac0&pd_rd_i=B0006O1ICE&th=1","Amazon"
"LOC Forte Kit","Has all the basic parts I need before I add any of the complicated dual deployment, chute release, PCB, or other components. Essentially just wood and cardboard. ",1,95.97,"https://locprecision.com/products/forte","LOC Precision"